AÑO PAGO    F_PAGO      PENDIENTE      PAGAR/MES      C.INTERÉS   C.AMORTIZADO   E.AMORTIZADO
  0    1  May 2022      323600.00        1112.02         283.15         828.87           0.00
  0    2  Jun 2022      322771.12        1112.02         282.42         829.60           0.00
  0    3  Jul 2022      321941.53        1112.02         281.70         830.32           0.00
  0    4  Ago 2022      321111.22        1112.02         280.97         831.05           0.00
  0    5  Sep 2022      320280.16        1112.02         280.25         831.77           0.00
  0    6  Oct 2022      319448.38        1112.02         279.52         832.50           0.00
  0    7  Nov 2022      318615.88        1112.02         278.79         833.23           0.00
  0    8  Dic 2022      317782.66        1112.02         278.06         833.96           0.00
  0    9  Ene 2023      316948.69        1112.02         277.33         834.69           0.00
  0   10  Feb 2023      316114.00        1112.02         276.60         835.42           0.00
  0   11  Mar 2023      315278.59        1112.02         275.87         836.15           0.00
  0   12  Abr 2023      314442.44        1112.02         275.14         836.88           0.00
  1   13  May 2023      313605.56        1112.02         274.40         837.61           0.00
  1   14  Jun 2023      312767.94        1112.02         273.67         838.35           0.00
  1   15  Jul 2023      311929.59        1112.02         272.94         839.08           0.00
  1   16  Ago 2023      311090.50        1112.02         272.20         839.82           0.00
  1   17  Sep 2023      310250.69        1112.02         271.47         840.55           0.00
  1   18  Oct 2023      309410.12        1112.02         270.73         841.29           0.00
  1   19  Nov 2023      308568.84        1112.02         270.00         842.02           0.00
  1   20  Dic 2023      307726.81        1112.02         269.26         842.76           0.00
  1   21  Ene 2024      306884.06        1112.02         268.52         843.50           0.00
  1   22  Feb 2024      306040.56        1112.02         267.79         844.23           0.10
  1   23  Mar 2024      305196.22        1112.02         267.05         844.97           0.00
  1   24  Abr 2024      304351.25        1112.02         266.31         845.71           0.00
  2   25  May 2024      303505.53        1112.02         265.57         846.45           0.00
  2   26  Jun 2024      302659.09        1112.02         264.83         847.19         300.00
  2   27  Jul 2024      301511.91        1110.91         263.82         847.09         301.11
  2   28  Ago 2024      300363.72        1109.80         262.82         846.98         302.22
  2   29  Sep 2024      299214.53        1108.68         261.81         846.87         303.34
  2   30  Oct 2024      298064.31        1107.55         260.81         846.75         304.47
  2   31  Nov 2024      296913.09        1106.42         259.80         846.62         305.60
  2   32  Dic 2024      295760.88        1105.28         258.79         846.49         306.74
  2   33  Ene 2025      294607.66        1104.13         257.78         846.35         307.89
  2   34  Feb 2025      293453.41        1102.97         256.77         846.20         309.05
  2   35  Mar 2025      292298.16        1101.81         255.76         846.04         310.21
  2   36  Abr 2025      291141.91        1100.63         254.75         845.88         311.39
  3   37  May 2025      289984.62        1099.45         253.74         845.72         312.57
  3   38  Jun 2025      288826.34        1098.26         252.72         845.54         313.76
  3   39  Jul 2025      287667.03        1097.07         251.71         845.36         314.95
  3   40  Ago 2025      286506.72        1095.86         250.69         845.17         316.16
  3   41  Sep 2025      285345.41        1094.65         249.68         844.97         317.37
  3   42  Oct 2025      284183.06        1093.43         248.66         844.77         318.59
  3   43  Nov 2025      283019.69        1092.20         247.64         844.56         319.82
  3   44  Dic 2025      281855.31        1090.96         246.62         844.34         321.06
  3   45  Ene 2026      280689.91        1089.71         245.60         844.11         322.31
  3   46  Feb 2026      279523.50        1088.46         244.58         843.88         323.56
  3   47  Mar 2026      278356.06        1087.20         243.56         843.63         324.82
  3   48  Abr 2026      277187.59        1085.92         242.54         843.38         326.10
  4   49  May 2026      276018.12        1084.64         241.52         843.13         327.38
  4   50  Jun 2026      274847.62        1083.35         240.49         842.86         328.67
  4   51  Jul 2026      273676.09        1082.05         239.47         842.59         329.97
  4   52  Ago 2026      272503.53        1080.74         238.44         842.30         331.28
  4   53  Sep 2026      271329.94        1079.43         237.41         842.01         332.59
  4   54  Oct 2026      270155.34        1078.10         236.39         841.71         333.92
  4   55  Nov 2026      268979.72        1076.76         235.36         841.40         335.26
  4   56  Dic 2026      267803.06        1075.42         234.33         841.09         336.60
  4   57  Ene 2027      266625.38        1074.06         233.30         840.76         337.96
  4   58  Feb 2027      265446.66        1072.69         232.27         840.43         339.33
  4   59  Mar 2027      264266.91        1071.32         231.23         840.08         340.70
  4   60  Abr 2027      263086.12        1069.93         230.20         839.73         342.09
  5   61  May 2027      261904.31        1068.54         229.17         839.37         343.48
  5   62  Jun 2027      260721.45        1067.13         228.13         839.00         344.89
  5   63  Jul 2027      259537.56        1065.71         227.10         838.62         346.31
  5   64  Ago 2027      258352.64        1064.29         226.06         838.23         347.73
  5   65  Sep 2027      257166.67        1062.85         225.02         837.83         349.17
  5   66  Oct 2027      255979.67        1061.40         223.98         837.42         350.62
  5   67  Nov 2027      254791.64        1059.94         222.94         837.00         352.08
  5   68  Dic 2027      253602.56        1058.47         221.90         836.57         353.55
  5   69  Ene 2028      252412.44        1056.99         220.86         836.13         355.03
  5   70  Feb 2028      251221.28        1055.50         219.82         835.68         356.52
  5   71  Mar 2028      250029.08        1054.00         218.78         835.22         358.02
  5   72  Abr 2028      248835.83        1052.49         217.73         834.75         359.53
  6   73  May 2028      247641.55        1050.96         216.69         834.27         361.06
  6   74  Jun 2028      246446.22        1049.42         215.64         833.78         362.60
  6   75  Jul 2028      245249.84        1047.87         214.59         833.28         364.15
  6   76  Ago 2028      244052.42        1046.31         213.55         832.77         365.71
  6   77  Sep 2028      242853.95        1044.74         212.50         832.24         367.28
  6   78  Oct 2028      241654.44        1043.15         211.45         831.71         368.87
  6   79  Nov 2028      240453.86        1041.56         210.40         831.16         370.46
  6   80  Dic 2028      239252.23        1039.94         209.35         830.60         372.08
  6   81  Ene 2029      238049.56        1038.32         208.29         830.03         373.70
  6   82  Feb 2029      236845.84        1036.69         207.24         829.45         375.33
  6   83  Mar 2029      235641.06        1035.04         206.19         828.85         376.98
  6   84  Abr 2029      234435.23        1033.38         205.13         828.24         378.64
  7   85  May 2029      233228.34        1031.70         204.07         827.63         380.32
  7   86  Jun 2029      232020.41        1030.01         203.02         826.99         382.01
  7   87  Jul 2029      230811.41        1028.31         201.96         826.35         383.71
  7   88  Ago 2029      229601.34        1026.59         200.90         825.69         385.43
  7   89  Sep 2029      228390.22        1024.87         199.84         825.02         387.15
  7   90  Oct 2029      227178.05        1023.12         198.78         824.34         388.90
  7   91  Nov 2029      225964.81        1021.36         197.72         823.64         390.66
  7   92  Dic 2029      224750.52        1019.59         196.66         822.94         392.43
  7   93  Ene 2030      223535.16        1017.80         195.59         822.21         394.22
  7   94  Feb 2030      222318.73        1016.00         194.53         821.47         396.02
  7   95  Mar 2030      221101.25        1014.19         193.46         820.72         397.83
  7   96  Abr 2030      219882.69        1012.36         192.40         819.96         399.66
  8   97  May 2030      218663.06        1010.51         191.33         819.18         401.51
  8   98  Jun 2030      217442.38        1008.65         190.26         818.38         403.37
  8   99  Jul 2030      216220.61        1006.77         189.19         817.57         405.25
  8  100  Ago 2030      214997.78        1004.87         188.12         816.75         407.15
  8  101  Sep 2030      213773.89        1002.96         187.05         815.91         409.06
  8  102  Oct 2030      212548.92        1001.04         185.98         815.06         410.98
  8  103  Nov 2030      211322.88         999.09         184.91         814.19         412.93
  8  104  Dic 2030      210095.77         997.13         183.83         813.30         414.89
  8  105  Ene 2031      208867.58         995.16         182.76         812.40         416.86
  8  106  Feb 2031      207638.31         993.16         181.68         811.48         418.86
  8  107  Mar 2031      206407.97         991.15         180.61         810.54         420.87
  8  108  Abr 2031      205176.56         989.12         179.53         809.59         422.90
  9  109  May 2031      203944.08         987.08         178.45         808.62         424.94
  9  110  Jun 2031      202710.52         985.01         177.37         807.64         427.01
  9  111  Jul 2031      201475.88         982.93         176.29         806.64         429.09
  9  112  Ago 2031      200240.14         980.83         175.21         805.62         431.19
  9  113  Sep 2031      199003.33         978.71         174.13         804.58         433.31
  9  114  Oct 2031      197765.44         976.57         173.04         803.52         435.45
  9  115  Nov 2031      196526.47         974.41         171.96         802.45         437.61
  9  116  Dic 2031      195286.41         972.23         170.88         801.35         439.79
  9  117  Ene 2032      194045.27         970.03         169.79         800.24         441.99
  9  118  Feb 2032      192803.03         967.81         168.70         799.11         444.21
  9  119  Mar 2032      191559.72         965.57         167.61         797.96         446.45
  9  120  Abr 2032      190315.31         963.31         166.53         796.79         448.71
 10  121  May 2032      189069.81         961.03         165.44         795.59         450.99
 10  122  Jun 2032      187823.23         958.73         164.35         794.38         453.29
 10  123  Jul 2032      186575.56         956.41         163.25         793.15         455.61
 10  124  Ago 2032      185326.80         954.06         162.16         791.90         457.96
 10  125  Sep 2032      184076.94         951.69         161.07         790.62         460.33
 10  126  Oct 2032      182825.98         949.30         159.97         789.33         462.72
 10  127  Nov 2032      181573.94         946.89         158.88         788.01         465.13
 10  128  Dic 2032      180320.80         944.45         157.78         786.67         467.57
 10  129  Ene 2033      179066.56         941.99         156.68         785.31         470.03
 10  130  Feb 2033      177811.22         939.51         155.58         783.92         472.51
 10  131  Mar 2033      176554.78         937.00         154.49         782.52         475.02
 10  132  Abr 2033      175297.25         934.47         153.39         781.08         477.55
 11  133  May 2033      174038.61         931.91         152.28         779.63         480.11
 11  134  Jun 2033      172778.88         929.33         151.18         778.15         482.69
 11  135  Jul 2033      171518.03         926.72         150.08         776.64         485.30
 11  136  Ago 2033      170256.09         924.09         148.97         775.11         487.93
 11  137  Sep 2033      168993.05         921.43         147.87         773.56         490.59
 11  138  Oct 2033      167728.89         918.74         146.76         771.98         493.28
 11  139  Nov 2033      166463.64         916.03         145.66         770.37         495.99
 11  140  Dic 2033      165197.28         913.28         144.55         768.74         498.74
 11  141  Ene 2034      163929.81         910.51         143.44         767.07         501.51
 11  142  Feb 2034      162661.23         907.71         142.33         765.39         504.31
 11  143  Mar 2034      161391.55         904.89         141.22         763.67         507.13
 11  144  Abr 2034      160120.75         902.03         140.11         761.92         509.99
 12  145  May 2034      158848.83         899.14         138.99         760.15         512.88
 12  146  Jun 2034      157575.80         896.23         137.88         758.35         515.79
 12  147  Jul 2034      156301.66         893.28         136.76         756.51         518.74
 12  148  Ago 2034      155026.41         890.30         135.65         754.65         521.72
 12  149  Sep 2034      153750.03         887.29         134.53         752.76         524.73
 12  150  Oct 2034      152472.55         884.25         133.41         750.83         527.77
 12  151  Nov 2034      151193.94         881.17         132.29         748.87         530.85
 12  152  Dic 2034      149914.22         878.06         131.17         746.89         533.96
 12  153  Ene 2035      148633.38         874.92         130.05         744.86         537.10
 12  154  Feb 2035      147351.41         871.74         128.93         742.81         540.28
 12  155  Mar 2035      146068.31         868.53         127.81         740.72         543.49
 12  156  Abr 2035      144784.11         865.28         126.69         738.59         546.74
 13  157  May 2035      143498.78         862.00         125.56         736.43         550.02
 13  158  Jun 2035      142212.33         858.67         124.44         734.24         553.35
 13  159  Jul 2035      140924.75         855.32         123.31         732.01         556.70
 13  160  Ago 2035      139636.03         851.92         122.18         729.74         560.10
 13  161  Sep 2035      138346.19         848.48         121.05         727.43         563.54
 13  162  Oct 2035      137055.22         845.01         119.92         725.09         567.01
 13  163  Nov 2035      135763.12         841.49         118.79         722.70         570.53
 13  164  Dic 2035      134469.89         837.94         117.66         720.28         574.08
 13  165  Ene 2036      133175.53         834.34         116.53         717.81         577.68
 13  166  Feb 2036      131880.05         830.70         115.40         715.31         581.32
 13  167  Mar 2036      130583.42         827.02         114.26         712.76         585.00
 13  168  Abr 2036      129285.66         823.30         113.12         710.17         588.72
 14  169  May 2036      127986.77         819.53         111.99         707.54         592.49
 14  170  Jun 2036      126686.73         815.71         110.85         704.86         596.31
 14  171  Jul 2036      125385.56         811.85         109.71         702.14         600.17
 14  172  Ago 2036      124083.26         807.94         108.57         699.37         604.08
 14  173  Sep 2036      122779.81         803.99         107.43         696.56         608.03
 14  174  Oct 2036      121475.23         799.98         106.29         693.69         612.04
 14  175  Nov 2036      120169.50         795.93         105.15         690.78         616.09
 14  176  Dic 2036      118862.62         791.83         104.00         687.82         620.19
 14  177  Ene 2037      117554.61         787.67         102.86         684.81         624.35
 14  178  Feb 2037      116245.45         783.46         101.71         681.75         628.56
 14  179  Mar 2037      114935.15         779.20         100.57         678.63         632.82
 14  180  Abr 2037      113623.70         774.89          99.42         675.46         637.13
 15  181  May 2037      112311.09         770.51          98.27         672.24         641.51
 15  182  Jun 2037      110997.34         766.09          97.12         668.96         645.93
 15  183  Jul 2037      109682.45         761.60          95.97         665.63         650.42
 15  184  Ago 2037      108366.40         757.06          94.82         662.24         654.96
 15  185  Sep 2037      107049.20         752.45          93.67         658.79         659.57
 15  186  Oct 2037      105730.84         747.79          92.51         655.27         664.23
 15  187  Nov 2037      104411.34         743.06          91.36         651.70         668.96
 15  188  Dic 2037      103090.67         738.27          90.20         648.07         673.75
 15  189  Ene 2038      101768.86         733.42          89.05         644.37         678.60
 15  190  Feb 2038      100445.89         728.49          87.89         640.60         683.53
 15  191  Mar 2038       99121.76         723.50          86.73         636.77         688.52
 15  192  Abr 2038       97796.47         718.45          85.57         632.87         693.57
 16  193  May 2038       96470.02         713.32          84.41         628.91         698.70
 16  194  Jun 2038       95142.41         708.12          83.25         624.87         703.90
 16  195  Jul 2038       93813.64         702.84          82.09         620.76         709.18
 16  196  Ago 2038       92483.71         697.50          80.92         616.57         714.52
 16  197  Sep 2038       91152.62         692.07          79.76         612.31         719.95
