AÑO PAGO    F_PAGO      PENDIENTE      PAGAR/MES      C.INTERÉS   C.AMORTIZADO   E.AMORTIZADO
  0    1  May 2022      323600.00        1112.02         283.15         828.87           0.00
  0    2  Jun 2022      322771.12        1112.02         282.42         829.60           0.00
  0    3  Jul 2022      321941.53        1112.02         281.70         830.32           0.00
  0    4  Ago 2022      321111.22        1112.02         280.97         831.05           0.00
  0    5  Sep 2022      320280.16        1112.02         280.25         831.77           0.00
  0    6  Oct 2022      319448.38        1112.02         279.52         832.50           0.00
  0    7  Nov 2022      318615.88        1112.02         278.79         833.23           0.00
  0    8  Dic 2022      317782.66        1112.02         278.06         833.96           0.00
  0    9  Ene 2023      316948.69        1112.02         277.33         834.69           0.00
  0   10  Feb 2023      316114.00        1112.02         276.60         835.42           0.00
  0   11  Mar 2023      315278.59        1112.02         275.87         836.15           0.00
  0   12  Abr 2023      314442.44        1112.02         275.14         836.88           0.00
  1   13  May 2023      313605.56        1112.02         274.40         837.61           0.00
  1   14  Jun 2023      312767.94        1112.02         273.67         838.35           0.00
  1   15  Jul 2023      311929.59        1112.02         272.94         839.08           0.00
  1   16  Ago 2023      311090.50        1112.02         272.20         839.82           0.00
  1   17  Sep 2023      310250.69        1112.02         271.47         840.55           0.00
  1   18  Oct 2023      309410.12        1112.02         270.73         841.29           0.00
  1   19  Nov 2023      308568.84        1112.02         270.00         842.02           0.00
  1   20  Dic 2023      307726.81        1112.02         269.26         842.76           0.00
  1   21  Ene 2024      306884.06        1112.02         268.52         843.50           0.00
  1   22  Feb 2024      306040.56        1112.02         267.79         844.23           0.10
  1   23  Mar 2024      305196.22        1112.02         267.05         844.97           0.00
  1   24  Abr 2024      304351.25        1112.02         266.31         845.71           0.00
  2   25  May 2024      303505.53        1112.02         265.57         846.45           0.00
  2   26  Jun 2024      302659.09        1112.02         264.83         847.19           0.00
  2   27  Jul 2024      301811.91        1112.02         264.09         847.93           0.00
  2   28  Ago 2024      300963.97        1112.02         263.34         848.68           0.00
  2   29  Sep 2024      300115.28        1112.02         262.60         849.42           0.00
  2   30  Oct 2024      299265.88        1112.02         261.86         850.16         300.00
  2   31  Nov 2024      298115.72        1110.90         260.85         851.17         300.00
  2   32  Dic 2024      296964.56        1109.78         259.84         851.06         301.12
  2   33  Ene 2025      295812.38        1108.64         258.84         850.94         302.24
  2   34  Feb 2025      294659.19        1107.50         257.83         850.82         303.38
  2   35  Mar 2025      293505.00        1106.35         256.82         850.69         304.52
  2   36  Abr 2025      292349.81        1105.20         255.81         850.55         305.67
  3   37  May 2025      291193.59        1104.04         254.79         850.41         306.82
  3   38  Jun 2025      290036.38        1102.86         253.78         850.25         307.98
  3   39  Jul 2025      288878.12        1101.69         252.77         850.10         309.16
  3   40  Ago 2025      287718.88        1100.50         251.75         849.93         310.33
  3   41  Sep 2025      286558.59        1099.30         250.74         849.76         311.52
  3   42  Oct 2025      285397.31        1098.10         249.72         849.58         312.72
  3   43  Nov 2025      284235.00        1096.89         248.71         849.39         313.92
  3   44  Dic 2025      283071.69        1095.67         247.69         849.20         315.13
  3   45  Ene 2026      281907.34        1094.44         246.67         849.00         316.35
  3   46  Feb 2026      280742.00        1093.20         245.65         848.79         317.58
  3   47  Mar 2026      279575.62        1091.96         244.63         848.58         318.82
  3   48  Abr 2026      278408.22        1090.71         243.61         848.35         320.06
  4   49  May 2026      277239.81        1089.44         242.58         848.12         321.31
  4   50  Jun 2026      276070.38        1088.17         241.56         847.88         322.58
  4   51  Jul 2026      274899.91        1086.89         240.54         847.63         323.85
  4   52  Ago 2026      273728.44        1085.60         239.51         847.38         325.13
  4   53  Sep 2026      272555.94        1084.30         238.49         847.11         326.42
  4   54  Oct 2026      271382.41        1082.99         237.46         846.84         327.72
  4   55  Nov 2026      270207.84        1081.68         236.43         846.56         329.03
  4   56  Dic 2026      269032.25        1080.35         235.40         846.27         330.34
  4   57  Ene 2027      267855.62        1079.02         234.37         845.98         331.67
  4   58  Feb 2027      266677.97        1077.67         233.34         845.67         333.01
  4   59  Mar 2027      265499.28        1076.31         232.31         845.36         334.35
  4   60  Abr 2027      264319.56        1074.95         231.28         845.03         335.71
  5   61  May 2027      263138.81        1073.57         230.25         844.70         337.07
  5   62  Jun 2027      261957.03        1072.19         229.21         844.36         338.45
  5   63  Jul 2027      260774.22        1070.79         228.18         844.01         339.83
  5   64  Ago 2027      259590.38        1069.39         227.14         843.65         341.23
  5   65  Sep 2027      258405.50        1067.97         226.10         843.28         342.63
  5   66  Oct 2027      257219.58        1066.54         225.07         842.90         344.05
  5   67  Nov 2027      256032.62        1065.11         224.03         842.52         345.48
  5   68  Dic 2027      254844.64        1063.66         222.99         842.12         346.91
  5   69  Ene 2028      253655.61        1062.20         221.95         841.71         348.36
  5   70  Feb 2028      252465.53        1060.73         220.91         841.29         349.82
  5   71  Mar 2028      251274.42        1059.25         219.87         840.87         351.29
  5   72  Abr 2028      250082.27        1057.76         218.82         840.43         352.77
  6   73  May 2028      248889.06        1056.25         217.78         839.98         354.26
  6   74  Jun 2028      247694.83        1054.74         216.73         839.52         355.77
  6   75  Jul 2028      246499.55        1053.21         215.69         839.05         357.28
  6   76  Ago 2028      245303.22        1051.67         214.64         838.57         358.81
  6   77  Sep 2028      244105.84        1050.12         213.59         838.08         360.35
  6   78  Oct 2028      242907.42        1048.56         212.54         837.58         361.90
  6   79  Nov 2028      241707.95        1046.99         211.49         837.07         363.46
  6   80  Dic 2028      240507.42        1045.40         210.44         836.54         365.03
  6   81  Ene 2029      239305.84        1043.80         209.39         836.01         366.62
  6   82  Feb 2029      238103.22        1042.19         208.34         835.46         368.22
  6   83  Mar 2029      236899.53        1040.57         207.29         834.90         369.83
  6   84  Abr 2029      235694.80        1038.93         206.23         834.33         371.45
  7   85  May 2029      234489.02        1037.28         205.18         833.75         373.09
  7   86  Jun 2029      233282.17        1035.61         204.12         833.16         374.74
  7   87  Jul 2029      232074.28        1033.94         203.07         832.55         376.41
  7   88  Ago 2029      230865.33        1032.25         202.01         831.93         378.08
  7   89  Sep 2029      229655.31        1030.54         200.95         831.30         379.77
  7   90  Oct 2029      228444.23        1028.82         199.89         830.65         381.48
  7   91  Nov 2029      227232.11        1027.09         198.83         830.00         383.20
  7   92  Dic 2029      226018.92        1025.35         197.77         829.33         384.93
  7   93  Ene 2030      224804.67        1023.59         196.70         828.64         386.67
  7   94  Feb 2030      223589.36        1021.81         195.64         827.94         388.43
  7   95  Mar 2030      222372.98        1020.02         194.58         827.23         390.21
  7   96  Abr 2030      221155.55        1018.22         193.51         826.51         392.00
  8   97  May 2030      219937.03        1016.40         192.44         825.77         393.80
  8   98  Jun 2030      218717.45        1014.56         191.38         825.02         395.62
  8   99  Jul 2030      217496.81        1012.71         190.31         824.25         397.46
  8  100  Ago 2030      216275.11        1010.84         189.24         823.47         399.31
  8  101  Sep 2030      215052.33        1008.96         188.17         822.67         401.18
  8  102  Oct 2030      213828.48        1007.06         187.10         821.86         403.06
  8  103  Nov 2030      212603.56        1005.15         186.03         821.03         404.96
  8  104  Dic 2030      211377.58        1003.22         184.96         820.19         406.87
  8  105  Ene 2031      210150.52        1001.27         183.88         819.34         408.80
  8  106  Feb 2031      208922.38         999.30         182.81         818.46         410.75
  8  107  Mar 2031      207693.16         997.32         181.73         817.57         412.72
  8  108  Abr 2031      206462.88         995.32         180.66         816.67         414.70
  9  109  May 2031      205231.52         993.31         179.58         815.75         416.70
  9  110  Jun 2031      203999.08         991.27         178.50         814.81         418.71
  9  111  Jul 2031      202765.56         989.22         177.42         813.85         420.75
  9  112  Ago 2031      201530.97         987.15         176.34         812.88         422.80
  9  113  Sep 2031      200295.28         985.06         175.26         811.89         424.87
  9  114  Oct 2031      199058.52         982.95         174.18         810.88         426.96
  9  115  Nov 2031      197820.67         980.82         173.09         809.86         429.07
  9  116  Dic 2031      196581.75         978.68         172.01         808.81         431.20
  9  117  Ene 2032      195341.73         976.51         170.92         807.75         433.34
  9  118  Feb 2032      194100.64         974.32         169.84         806.67         435.51
  9  119  Mar 2032      192858.45         972.12         168.75         805.57         437.70
  9  120  Abr 2032      191615.19         969.89         167.66         804.45         439.90
 10  121  May 2032      190370.83         967.64         166.57         803.32         442.13
 10  122  Jun 2032      189125.38         965.38         165.48         802.16         444.38
 10  123  Jul 2032      187878.84         963.09         164.39         800.98         446.64
 10  124  Ago 2032      186631.22         960.77         163.30         799.78         448.93
 10  125  Sep 2032      185382.50         958.44         162.21         798.57         451.25
 10  126  Oct 2032      184132.69         956.09         161.12         797.33         453.58
 10  127  Nov 2032      182881.78         953.71         160.02         796.07         455.93
 10  128  Dic 2032      181629.78         951.31         158.93         794.78         458.31
 10  129  Ene 2033      180376.69         948.89         157.83         793.48         460.71
 10  130  Feb 2033      179122.50         946.44         156.73         792.15         463.14
 10  131  Mar 2033      177867.22         943.97         155.63         790.80         465.58
 10  132  Abr 2033      176610.83         941.47         154.53         789.43         468.05
 11  133  May 2033      175353.34         938.95         153.43         788.04         470.55
 11  134  Jun 2033      174094.75         936.41         152.33         786.62         473.07
 11  135  Jul 2033      172835.06         933.84         151.23         785.18         475.61
 11  136  Ago 2033      171574.27         931.24         150.13         783.71         478.18
 11  137  Sep 2033      170312.38         928.62         149.02         782.22         480.78
 11  138  Oct 2033      169049.38         925.97         147.92         780.70         483.40
 11  139  Nov 2033      167785.27         923.30         146.81         779.16         486.05
 11  140  Dic 2033      166520.06         920.60         145.71         777.59         488.72
 11  141  Ene 2034      165253.75         917.87         144.60         776.00         491.42
 11  142  Feb 2034      163986.33         915.11         143.49         774.38         494.15
 11  143  Mar 2034      162717.80         912.32         142.38         772.73         496.91
 11  144  Abr 2034      161448.16         909.51         141.27         771.06         499.70
 12  145  May 2034      160177.41         906.66         140.16         769.35         502.51
 12  146  Jun 2034      158905.55         903.79         139.04         767.62         505.36
 12  147  Jul 2034      157632.56         900.88         137.93         765.86         508.23
 12  148  Ago 2034      156358.47         897.95         136.81         764.07         511.14
 12  149  Sep 2034      155083.27         894.98         135.70         762.25         514.07
 12  150  Oct 2034      153806.94         891.98         134.58         760.40         517.04
 12  151  Nov 2034      152529.50         888.95         133.46         758.52         520.04
 12  152  Dic 2034      151250.94         885.89         132.34         756.61         523.07
 12  153  Ene 2035      149971.27         882.79         131.22         754.67         526.13
 12  154  Feb 2035      148690.47         879.66         130.10         752.69         529.23
 12  155  Mar 2035      147408.55         876.50         128.98         750.68         532.36
 12  156  Abr 2035      146125.52         873.30         127.86         748.64         535.52
 13  157  May 2035      144841.36         870.06         126.74         746.56         538.72
 13  158  Jun 2035      143556.08         866.79         125.61         744.45         541.96
 13  159  Jul 2035      142269.67         863.48         124.49         742.30         545.23
 13  160  Ago 2035      140982.14         860.13         123.36         740.12         548.54
 13  161  Sep 2035      139693.48         856.75         122.23         737.90         551.89
 13  162  Oct 2035      138403.70         853.32         121.10         735.64         555.27
 13  163  Nov 2035      137112.78         849.86         119.97         733.35         558.70
 13  164  Dic 2035      135820.73         846.36         118.84         731.02         562.16
 13  165  Ene 2036      134527.56         842.81         117.71         728.65         565.66
 13  166  Feb 2036      133233.25         839.23         116.58         726.23         569.21
 13  167  Mar 2036      131937.81         835.60         115.45         723.78         572.79
 13  168  Abr 2036      130641.23         831.93         114.31         721.29         576.42
 14  169  May 2036      129343.52         828.22         113.18         718.75         580.09
 14  170  Jun 2036      128044.68         824.46         112.04         716.18         583.80
 14  171  Jul 2036      126744.70         820.65         110.90         713.55         587.56
 14  172  Ago 2036      125443.58         816.80         109.76         710.89         591.37
 14  173  Sep 2036      124141.32         812.90         108.62         708.18         595.22
 14  174  Oct 2036      122837.92         808.96         107.48         705.42         599.12
 14  175  Nov 2036      121533.38         804.96         106.34         702.62         603.06
 14  176  Dic 2036      120227.70         800.92         105.20         699.76         607.06
 14  177  Ene 2037      118920.88         796.83         104.06         696.86         611.10
 14  178  Feb 2037      117612.92         792.68         102.91         693.91         615.20
 14  179  Mar 2037      116303.81         788.48         101.77         690.91         619.34
 14  180  Abr 2037      114993.55         784.23         100.62         687.86         623.54
 15  181  May 2037      113682.16         779.92          99.47         684.76         627.79
 15  182  Jun 2037      112369.61         775.56          98.32         681.60         632.10
 15  183  Jul 2037      111055.91         771.14          97.17         678.38         636.46
 15  184  Ago 2037      109741.07         766.66          96.02         675.11         640.88
 15  185  Sep 2037      108425.07         762.12          94.87         671.79         645.36
 15  186  Oct 2037      107107.92         757.53          93.72         668.41         649.90
 15  187  Nov 2037      105789.62         752.87          92.57         664.96         654.49
 15  188  Dic 2037      104470.17         748.15          91.41         661.46         659.15
 15  189  Ene 2038      103149.56         743.37          90.26         657.89         663.87
 15  190  Feb 2038      101827.80         738.52          89.10         654.27         668.65
 15  191  Mar 2038      100504.88         733.60          87.94         650.57         673.50
 15  192  Abr 2038       99180.80         728.62          86.78         646.82         678.42
 16  193  May 2038       97855.56         723.56          85.62         642.99         683.40
 16  194  Jun 2038       96529.16         718.44          84.46         639.10         688.46
 16  195  Jul 2038       95201.61         713.24          83.30         635.14         693.58
 16  196  Ago 2038       93872.89         707.97          82.14         631.10         698.78
 16  197  Sep 2038       92543.01         702.63          80.98         627.00         704.05
