 AÑO      PENDIENTE      PAGAR/MES      C.INTERÉS   C.AMORTIZADO   E.AMORTIZADO
   0      323599.97        1048.28         283.15         765.13         500.00
   1      308418.44        1028.42         269.87         758.55         500.00
   2      293315.81        1007.95         256.65         751.30         500.00
   3      278300.22         986.83         243.51         743.32         500.00
   4      263380.41         965.00         230.46         734.55         500.00
   5      248565.86         942.42         217.50         724.92         500.00
   6      233866.80         919.00         204.63         714.37         500.00
   7      219294.36         894.69         191.88         702.81         500.00
   8      204860.62         869.40         179.25         690.15         500.00
   9      190578.83         843.04         166.76         676.28         500.00
  10      176463.45         815.49         154.41         661.09         500.00
  11      162530.42         786.64         142.21         644.42         500.00
  12      148797.36         756.33         130.20         626.13         500.00
  13      135283.80         724.39         118.37         606.02         500.00
  14      122011.54         690.63         106.76         583.87         500.00
  15      109005.09         654.79          95.38         559.41         500.00
  16       96292.14         616.58          84.26         532.32         500.00
  17       83904.25         575.63          73.42         502.21         500.00
  18       71877.71         531.48          62.89         468.58         500.00
  19       60254.70         483.55          52.72         430.82         500.00
  20       49084.83         431.07          42.95         388.12         500.00
  21       38427.37         373.04          33.62         339.42         500.00
  22       28354.34         308.07          24.81         283.26         500.00
  23       18955.26         234.15          16.59         217.57         500.00
  24       10344.47         148.31           9.05         139.26         500.00
  25        2673.37          45.76           2.34          43.42         500.00
 -------------------------------------------
 Total de interés pagado:    40723.6367    
